지역명,전용면적,연도,월,평당분양가격
대전,102m²~,2021,3,
울산,102m²~,2023,7,17397.6
인천,85m²~102m²,2018,1,11477.4
경남,60m²~85m²,2016,8,7857.299999999999
인천,85m²~102m²,2017,9,11477.4
충남,60m²~85m²,2017,5,7355.7
제주,모든면적,2022,9,21542.4
대구,모든면적,2023,7,16358.1
충남,60m²~85m²,2023,10,13061.4
경북,60m²,2023,12,14513.4
경북,모든면적,2017,6,7863.9
전남,모든면적,2018,11,7715.4
세종,모든면적,2019,9,11411.4
전남,60m²~85m²,2018,1,7854.0
대전,102m²~,2015,11,
인천,85m²~102m²,2015,11,11698.5
대구,85m²~102m²,2017,10,
광주,모든면적,2016,5,8982.6
전북,102m²~,2022,10,10543.5
경남,60m²,2017,4,8428.199999999999
경기,60m²~85m²,2020,11,14374.8
전남,85m²~102m²,2022,4,9216.9
대구,102m²~,2022,3,17734.2
강원,모든면적,2017,4,6824.4
제주,모든면적,2017,6,10804.2
전북,85m²~102m²,2020,3,9121.2
강원,102m²~,2020,9,12988.8
광주,60m²~85m²,2023,5,17806.8
광주,85m²~102m²,2022,1,
제주,모든면적,2018,8,11002.2
부산,60m²~85m²,2021,8,14279.1
제주,60m²,2017,9,17754.0
부산,102m²~,2024,8,22905.3
세종,모든면적,2023,5,12279.3
인천,85m²~102m²,2016,4,11698.5
전북,모든면적,2022,3,9434.7
제주,60m²~85m²,2019,3,11563.2
광주,60m²,2022,12,15123.9
광주,85m²~102m²,2023,10,14279.1
경기,85m²~102m²,2017,2,11398.2
경기,60m²,2017,5,11972.4
대전,60m²,2024,8,17496.6
전남,85m²~102m²,2017,6,7560.299999999999
충남,85m²~102m²,2018,3,
인천,60m²,2020,3,13388.1
대전,60m²,2021,1,10101.3
전남,60m²~85m²,2018,8,7748.4
충북,60m²~85m²,2023,4,10718.4
세종,모든면적,2022,11,10586.4
대구,60m²,2023,4,17463.6
대전,60m²,2021,3,10101.3
울산,85m²~102m²,2019,4,
부산,60m²,2018,3,12058.2
서울,60m²,2016,4,21839.4
대전,60m²,2023,8,16104.0
충북,모든면적,2018,9,7867.2
부산,모든면적,2019,6,12889.8
경남,모든면적,2018,6,8893.5
부산,60m²,2016,8,10068.3
인천,모든면적,2020,9,15318.6
충남,60m²,2016,6,7586.7
인천,모든면적,2024,3,18117.0
광주,60m²~85m²,2023,10,17678.1
울산,모든면적,2021,10,14199.9
경남,60m²,2020,8,9787.8
전북,85m²~102m²,2016,7,7557.0
부산,85m²~102m²,2019,2,13417.8
서울,102m²~,2020,1,28970.7
경기,85m²~102m²,2018,7,15384.6
전남,모든면적,2019,5,7484.4
세종,102m²~,2018,9,10626.0
경북,102m²~,2022,8,12200.1
인천,60m²,2016,8,9923.1
인천,60m²~85m²,2023,12,16302.0
경남,60m²,2018,2,9187.2
전북,85m²~102m²,2017,12,7329.299999999999
경남,60m²,2022,4,11196.9
대전,60m²~85m²,2017,11,9117.9
서울,102m²~,2020,6,31043.1
제주,85m²~102m²,2021,2,
광주,모든면적,2024,3,18885.9
서울,60m²,2023,6,31531.5
부산,85m²~102m²,2017,6,9942.9
경남,102m²~,2019,8,14199.9
경북,60m²~85m²,2022,9,11886.6
전남,모든면적,2024,5,12147.3
인천,60m²,2021,5,15265.8
충북,85m²~102m²,2018,1,7494.299999999999
전북,85m²~102m²,2018,5,8698.8
강원,85m²~102m²,2022,1,11596.2
경기,60m²~85m²,2020,8,14275.8
대구,모든면적,2016,2,10111.2
경북,102m²~,2024,1,14150.4
제주,모든면적,2018,5,12952.5
인천,60m²,2018,1,11140.8
경기,60m²~85m²,2021,5,14011.8
대전,102m²~,2021,1,
제주,60m²~85m²,2021,6,24740.1
전북,모든면적,2019,1,7854.0
경기,모든면적,2015,11,10223.4
세종,60m²,2024,1,
울산,85m²~102m²,2017,3,
전북,102m²~,2019,2,9084.9
강원,85m²~102m²,2020,8,9051.9
대구,60m²~85m²,2017,7,12827.1
대전,60m²,2017,4,9401.7
