iter	RMSE
0	0.478922466
1	0.4574215692
2	0.4378526674
3	0.4193724801
4	0.4021874671
5	0.3856799154
6	0.3709002134
7	0.3560499732
8	0.3427797267
9	0.3305921173
10	0.3189387086
11	0.3081389102
12	0.2979172054
13	0.2883255546
14	0.2793484437
15	0.2719368787
16	0.2645984931
17	0.2574949274
18	0.251441768
19	0.2453949198
20	0.2396319476
21	0.2339599531
22	0.2293229485
23	0.2243453689
24	0.2200059051
25	0.2157860779
26	0.2126180942
27	0.2089089089
28	0.205932515
29	0.2029809793
30	0.2000702731
31	0.1970253941
32	0.194490306
33	0.192392606
34	0.1903767025
35	0.1887741905
36	0.1864690847
37	0.184725151
38	0.1830662241
39	0.1815519082
40	0.1801734951
41	0.1783180049
42	0.1770601189
43	0.175628071
44	0.1745524118
45	0.1733515789
46	0.1722654923
47	0.1710522179
48	0.1699826355
49	0.1693194922
50	0.1683178872
51	0.1674612616
52	0.1665719004
53	0.1657271815
54	0.1651640955
55	0.1642989616
56	0.1637539742
57	0.1632376897
58	0.1626849914
59	0.1622294323
60	0.1618111507
61	0.1613247117
62	0.1609645724
63	0.1601607567
64	0.1596660985
65	0.1591109921
66	0.1586723164
67	0.1584242028
68	0.1582055477
69	0.1580393091
70	0.1574745244
71	0.1570162533
72	0.1565608031
73	0.1562104438
74	0.1557898641
75	0.1555243708
76	0.1550092562
77	0.1547391604
78	0.1545096584
79	0.1541970534
80	0.1539054987
81	0.1536811739
82	0.153457002
83	0.1531831779
84	0.1530045621
85	0.1526924889
86	0.1525639961
87	0.1522261876
88	0.1520520993
89	0.151642571
90	0.1514953053
91	0.1514067282
92	0.1512460031
93	0.1509514373
94	0.1506762421
95	0.1503857582
96	0.1499545393
97	0.1497089291
98	0.1495824601
99	0.1494439257
100	0.1493103582
101	0.1491496716
102	0.1489109959
103	0.1487370566
104	0.1485814301
105	0.1484412097
106	0.1483130916
107	0.1480211618
108	0.1478769549
109	0.1476739022
110	0.1473782423
111	0.1471020152
112	0.1469605765
113	0.1467482218
114	0.1465879204
115	0.1463845755
116	0.1462899448
117	0.1461229995
118	0.146006471
119	0.1458006585
120	0.1456616375
121	0.1455082523
122	0.1453892236
123	0.1452065004
124	0.144948224
125	0.1446390645
126	0.1444522235
127	0.1441792052
128	0.1438545824
129	0.1436058861
130	0.1434350877
131	0.143306121
132	0.1430767974
133	0.142945063
134	0.142756212
135	0.1425917049
136	0.1424476847
137	0.1422742777
138	0.142080698
139	0.1419102569
140	0.1417746483
141	0.1413962193
142	0.1412150285
143	0.1410284541
144	0.1408876581
145	0.1406962558
146	0.1403597301
147	0.1402295184
148	0.1401133951
149	0.1399389527
150	0.1397491679
151	0.1396739903
152	0.1395377769
153	0.139328027
154	0.1392029537
155	0.1390592866
156	0.1388565127
157	0.1387100306
158	0.1383844744
159	0.1382083314
160	0.1380282459
161	0.1379167513
162	0.137777672
163	0.1375836193
164	0.1374984508
165	0.1372898211
166	0.1369669317
167	0.1367922941
168	0.1364917444
169	0.1363060599
170	0.1361215076
171	0.1359280127
172	0.1357510363
173	0.1355236817
174	0.1353777842
175	0.1351073779
176	0.1349583442
177	0.1348515927
178	0.1346822532
179	0.1345611417
180	0.134437514
181	0.1342257615
182	0.1341165715
183	0.1339414504
184	0.1337607028
185	0.1336617841
186	0.1335010774
187	0.1333927157
188	0.1332380871
189	0.1330923414
190	0.1329446423
191	0.1328326149
192	0.1326892323
193	0.1325291973
194	0.1323582655
195	0.1321140186
196	0.1320227816
197	0.1318759992
198	0.1317301029
199	0.1315091545
200	0.1313755229
201	0.1310762818
202	0.130893782
203	0.130693347
204	0.1305462473
205	0.1304234432
206	0.1303386917
207	0.1300534847
208	0.1299238678
