iter	Passed	Remaining
0	111	111670
1	114	57315
2	117	39089
3	120	30054
4	124	24731
5	127	21092
6	130	18476
7	133	16497
8	136	14995
9	139	13763
10	142	12768
11	144	11926
12	147	11210
13	150	10604
14	154	10154
15	157	9680
16	160	9260
17	163	8895
18	166	8570
19	169	8283
20	171	8016
21	174	7771
22	177	7542
23	180	7335
24	183	7161
25	187	7016
26	190	6854
27	193	6725
28	196	6587
29	200	6470
30	203	6345
31	206	6237
32	209	6137
33	212	6029
34	216	5965
35	219	5867
36	221	5775
37	224	5685
38	227	5599
39	230	5526
40	232	5449
41	235	5376
42	238	5306
43	241	5241
44	243	5175
45	248	5150
46	251	5093
47	253	5034
48	256	4979
49	259	4929
50	262	4884
51	265	4835
52	268	4789
53	270	4741
54	273	4695
55	276	4653
56	279	4631
57	282	4591
58	285	4551
59	288	4513
60	290	4475
61	293	4443
62	296	4409
63	299	4377
64	301	4342
65	304	4310
66	307	4279
67	310	4256
68	313	4231
69	316	4202
70	319	4175
71	321	4147
72	324	4122
73	327	4099
74	330	4073
75	332	4047
76	335	4023
77	338	3998
78	340	3974
79	344	3962
80	347	3938
81	349	3915
82	352	3893
83	355	3871
84	357	3853
85	360	3833
86	363	3811
87	365	3791
88	368	3771
89	371	3753
90	374	3740
91	377	3726
92	380	3710
93	383	3694
94	385	3675
95	388	3660
96	391	3647
97	394	3635
98	398	3623
99	401	3609
100	404	3596
101	408	3593
102	411	3584
103	414	3570
104	417	3554
105	419	3539
106	422	3527
107	425	3513
108	428	3499
109	430	3486
110	433	3472
111	436	3461
112	440	3461
113	443	3447
114	446	3435
115	449	3422
116	451	3409
117	455	3400
118	457	3388
119	460	3376
120	463	3363
121	465	3351
122	468	3340
123	472	3337
124	475	3326
125	477	3315
126	480	3304
127	483	3293
128	486	3285
129	489	3274
130	492	3265
131	495	3257
132	498	3249
133	501	3242
134	505	3236
135	507	3225
136	510	3215
137	513	3205
138	515	3195
139	518	3187
140	521	3177
141	524	3167
142	526	3157
143	529	3147
144	532	3137
145	536	3136
146	538	3127
147	541	3117
148	544	3108
149	546	3099
150	549	3091
151	552	3082
152	555	3073
153	558	3065
154	560	3056
155	563	3047
156	567	3045
157	569	3037
158	572	3029
159	575	3022
160	578	3013
161	581	3007
162	584	3000
163	586	2992
164	590	2987
165	593	2983
166	597	2978
167	600	2975
168	603	2969
169	607	2964
170	613	2973
171	616	2966
172	619	2959
173	622	2953
174	625	2947
175	628	2943
176	633	2944
177	636	2937
178	639	2931
179	641	2922
180	644	2916
181	647	2909
182	650	2902
183	652	2895
184	655	2887
185	658	2880
186	661	2875
187	664	2871
188	667	2864
189	670	2856
190	672	2849
191	675	2843
192	678	2837
193	681	2831
194	684	2823
195	686	2817
196	689	2809
197	692	2803
198	695	2800
199	698	2794
200	701	2787
201	704	2781
202	706	2774
203	709	2769
204	712	2763
205	715	2756
206	717	2750
207	720	2744
208	723	2737
209	727	2736
210	730	2729
211	732	2723
212	735	2717
213	738	2711
214	741	2706
215	744	2700
216	746	2694
217	749	2688
218	752	2682
219	754	2675
220	758	2672
221	761	2667
222	763	2661
223	766	2655
224	769	2649
225	772	2644
226	774	2638
227	777	2632
228	780	2626
229	783	2621
230	786	2617
231	790	2616
232	793	2611
233	796	2607
234	799	2602
235	802	2596
236	805	2592
237	807	2586
238	810	2581
239	813	2575
240	816	2570
241	818	2564
242	823	2564
243	825	2558
244	828	2553
245	831	2547
246	833	2542
247	836	2537
248	839	2531
249	842	2526
250	844	2521
251	847	2515
252	850	2510
253	854	2508
254	856	2503
255	859	2498
256	862	2493
257	865	2488
258	868	2484
259	870	2478
260	873	2474
261	876	2468
262	878	2462
263	881	2457
264	884	2452
265	887	2449
266	890	2444
267	893	2439
268	895	2434
269	898	2430
270	901	2426
271	904	2421
272	907	2416
273	910	2411
274	912	2406
275	915	2401
276	919	2399
277	922	2394
278	924	2389
279	927	2385
280	930	2380
281	933	2376
282	935	2371
283	938	2366
284	941	2361
285	943	2356
286	946	2351
287	950	2348
288	952	2344
289	955	2339
290	958	2334
291	960	2329
292	963	2324
293	966	2320
294	969	2315
295	971	2311
296	974	2307
297	978	2303
298	981	2301
299	985	2298
300	988	2296
301	991	2292
302	996	2292
303	1004	2300
304	1007	2296
305	1010	2291
306	1015	2291
307	1018	2287
308	1020	2283
309	1023	2278
310	1026	2274
311	1029	2270
312	1032	2265
313	1034	2261
314	1037	2256
315	1040	2252
316	1043	2248
317	1047	2246
318	1050	2242
319	1053	2238
320	1056	2233
321	1058	2229
322	1062	2226
323	1064	2221
324	1067	2217
325	1070	2213
326	1073	2209
327	1076	2205
328	1080	2202
329	1082	2198
330	1085	2194
331	1088	2190
332	1091	2186
333	1094	2182
334	1097	2178
335	1100	2174
336	1102	2169
337	1105	2165
338	1109	2163
339	1112	2159
340	1115	2155
341	1118	2151
342	1120	2146
343	1123	2143
344	1126	2139
345	1129	2135
346	1132	2131
347	1135	2126
348	1138	2122
349	1141	2120
350	1144	2116
351	1147	2112
352	1150	2108
353	1153	2104
354	1156	2101
355	1159	2097
356	1161	2092
357	1164	2088
358	1167	2084
359	1170	2080
360	1173	2077
361	1177	2074
362	1179	2070
363	1182	2066
364	1185	2062
365	1189	2059
366	1191	2055
367	1194	2051
368	1198	2048
369	1200	2044
370	1204	2042
371	1207	2038
372	1210	2034
373	1213	2030
374	1215	2026
375	1218	2022
376	1221	2018
377	1224	2014
378	1226	2010
379	1229	2006
380	1232	2001
